angular_speed,complime,signal
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.0142858,-0.13311088,-0.35752243
0,-0.23097262,0.046383195
0,-0.32273242,0.043055788
0,-0.33474526,0.034742367
0,-0.36608484,0.024052383
0,-0.4262656,0.019839555
0,-0.41850477,0.014335564
0,-0.40028331,0.017687969
0,-0.40196964,0.012614612
0,-0.32591441,0.010016843
0,-0.37888849,0.013089667
0,-0.41785553,0.009190802
0,-0.42724118,0.001482337
0,-0.46653587,-0.008784745
0,-0.56050658,-0.023954105
0,-0.61269939,-0.034401774
0,-0.64135045,-0.051315948
0,-0.54742044,-0.06382893
0,-0.49758992,-0.063077793
0,-0.39219642,-0.065328509
0,-0.2636469,-0.065601587
0,-0.1716805,-0.055115189
0,-0.13195957,-0.049101908
0,-0.051173951,-0.045521375
0,-0.025619267,-0.049221169
0,-0.032443091,-0.05117739
0,-0.1347408,-0.057995707
0,-0.13564426,-0.068219386
0,-0.099451527,-0.073185921
0,-0.011597201,-0.072962619
0,0.052945074,-0.071639396
0,0.18121524,-0.063758664
0,0.16958472,-0.059432421
0,0.24018709,-0.050869085
